,#,"Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976220, SEN S/N: 20976220)","Temp, °C (LGR S/N: 20976220, SEN S/N: 20976220)","Water Level, meters (LGR S/N: 20976220)",Coupler Detached (LGR S/N: 20976220),Coupler Attached (LGR S/N: 20976220),Host Connected (LGR S/N: 20976220),End Of File (LGR S/N: 20976220)
0,1,02/05/21 05:00:00 PM,142.894,24.158,-2.23,Logged,,,
1,2,02/06/21 05:00:00 AM,143.202,24.158,-2.199,,,,
2,3,02/06/21 05:00:00 PM,142.689,24.158,-2.251,,,,
3,4,02/07/21 05:00:00 AM,143.065,24.158,-2.213,,,,
4,5,02/07/21 05:00:00 PM,142.586,24.158,-2.261,,,,
5,6,02/08/21 05:00:00 AM,143.065,24.158,-2.213,,,,
6,7,02/08/21 05:00:00 PM,142.449,24.158,-2.275,,,,
7,8,02/09/21 05:00:00 AM,142.757,24.158,-2.244,,,,
8,9,02/09/21 05:00:00 PM,140.43,24.158,-2.481,,,,
9,10,02/10/21 05:00:00 AM,142.483,24.158,-2.272,,,,
10,11,02/10/21 05:00:00 PM,129.785,24.062,-3.567,,,,
11,12,02/11/21 05:00:00 AM,142.175,24.158,-2.303,,,,
12,13,02/11/21 05:00:00 PM,141.594,24.158,-2.363,,,,
13,14,02/12/21 05:00:00 AM,142.346,24.158,-2.286,,,,
14,15,02/12/21 12:39:29 PM,,,,,Logged,,
15,16,02/12/21 12:39:37 PM,,,,,,Logged,Logged
