,#,"Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976225, SEN S/N: 20976225)","Temp, °C (LGR S/N: 20976225, SEN S/N: 20976225)","Water Level, meters (LGR S/N: 20976225)",Coupler Detached (LGR S/N: 20976225),Coupler Attached (LGR S/N: 20976225),Host Connected (LGR S/N: 20976225)
0,1,02/02/21 05:00:00 PM,130.613,25.319,-2.85,Logged,,
1,2,02/03/21 05:00:00 AM,130.541,25.319,-2.857,,,
2,3,02/03/21 05:00:00 PM,130.505,25.319,-2.861,,,
3,4,02/04/21 05:00:00 AM,130.502,25.222,-2.861,,,
4,5,02/04/21 05:00:00 PM,129.93,25.222,-2.92,,,
5,6,02/05/21 05:00:00 AM,130.252,25.222,-2.887,,,
6,7,02/05/21 05:00:00 PM,130.181,25.222,-2.894,,,
7,8,02/06/21 05:00:00 AM,130.109,25.222,-2.901,,,
8,9,02/06/21 05:00:00 PM,129.251,25.222,-2.989,,,
9,10,02/07/21 05:00:00 AM,129.501,25.222,-2.963,,,
10,11,02/07/21 05:00:00 PM,128.822,25.222,-3.033,,,
11,12,02/08/21 05:00:00 AM,129.144,25.222,-3.0,,,
12,13,02/08/21 05:00:00 PM,128.465,25.222,-3.069,,,
13,14,02/09/21 05:00:00 AM,128.608,25.222,-3.054,,,
14,15,02/09/21 02:20:36 PM,,,,,Logged,
15,16,02/09/21 02:22:01 PM,,,,,,Logged
