,Unnamed: 0,Unnamed: 1,Unnamed: 2,   Jan.,   Feb.,   Mar.,  Apr.,  May,   Jun., Jul., Aug.,Sep.,Oct.,Nov.,Dec.,Remarks
0,Rohini Kh.,569500.0,3119130.0,5.52,5.77,5.87,6.27,6.67,6.37,,,,,,,
1,Jabadhawa,563125.0,3125750.0,-,-,-,-,-,-,,,,,,,
2,Thapawa,557250.0,3118750.0,-,-,-,-,-,-,,,,,,,
3,Piprahawa,570700.0,3095900.0,-,-,-,-,-,-,,,,,,,
4,Bhujai,562100.0,3107400.0,0.84,0.89,0.99,1.11,1.24,1.19,,,,,,,
5,Birta,564750.0,3102880.0,1.94,1.99,2.34,2.59,2.64,2.54,,,,,,,
6,Shikhanpurwa,565625.0,3099130.0,-,-,-,-,-,-,,,,,,,
7,Kharaicha,570875.0,3096000.0,1.85,1.88,12,2.15,2.3,2.1,,,,,,,
8,Jaispur,559100.0,3100800.0,1.35,1.3,1.35,1.3,1.4,1.25,,,,,,,
9,Baratha,575250.0,3198880.0,1.5,1.5,2.6,2.8,2.9,2.85,,,,,,,
10,Matehiya,577625.0,3090250.0,-,-,-,-,-,-,,,,,,,
11,Panditpurwa,582750.0,3087750.0,-,-,-,-,-,-,,,,,,,
12,Majharaitiya,589375.0,3084750.0,1.25,1.27,1.26,1.5,1.65,1.5,,,,,,,
13,,,,,,,,,,,,,,,,
14,Godhaina,553000.0,3116380.0,3.35,3.5,3.7,3.8,3.9,3.75,,,,,,,
15,Jee- Gaon,558750.0,3119630.0,2.75,2.9,3.05,3.25,3.45,3.3,,,,,,,
16,Mahadewa,563000.0,3119630.0,2.49,2.64,2.79,2.99,3.19,2.99,,,,,,,
17,Kohalpur,567250.0,3118500.0,2.8,2.85,2.95,3.15,3.45,3.2,,,,,,,
18,Kopasi,562760.0,,3.76,3.86,3.96,4.21,3.41,3.31,,,,,,,
19,Bakaspur,561625.0,,3,3.15,3.2,3.35,3.5,3.35,,,,,,,
20,Gijara,560250.0,,2.4,2.6,2.71,2.9,3.1,3,,,,,,,
21,Khajura,558250.0,,3,3.15,3.25,3.4,3.65,3.45,,,,,,,
22,Manpur,560125.0,,3,3.15,3.25,3.35,3.5,3.3,,,,,,,
23,Bhatanpur,565500.0,,1.93,2.05,2.08,3.18,3.43,2.23,,,,,,,
24,Ranjha,563125.0,,2.65,2.8,2.95,3.1,3.35,3.25,,,,,,,
25,Piprahawa,561375.0,,2.86,3.01,3.11,3.21,3.36,3.1,,,,,,,
26,Nepalganj,561250.0,,3.55,3.6,3.75,3.85,3.9,3.85,,,,,,,
27,,,,,,,,,,,,,,,,
28,Phutakra,563250.0,3104880.0,2.06,2.11,2.15,2.21,2.51,2.41,,,,,,,
29,Puraina,565000.0,3104880.0,1.23,1.33,1.43,1.58,1.83,1.78,,,,,,,
30,Shahpurwa,566250.0,3105000.0,2.2,2.35,2.51,2.6,2.85,2.7,,,,,,,
31,Shi- nagar,566625.0,3103380.0,2.45,2.55,1.67,2.9,3.1,3.05,,,,,,,
32,Halbaldoli,569125.0,3102130.0,2.75,2.8,2.95,3.15,3.4,3.3,,,,,,,
33,Japharpur,559625.0,3101130.0,2.4,2.55,2.65,2.75,2.9,2.75,,,,,,,
34,Birta,564375.0,3103000.0,2.45,2.6,2.7,2.8,2.9,2.85,,,,,,,
35,Udaypur,564250.0,3101000.0,2.63,2.78,2.93,3.08,3.28,3.13,,,,,,,
36,Jaispur,559250.0,3101000.0,2.2,2.35,2.4,2.6,2.9,2.8,,,,,,,
37,Dhamboji,561250.0,3105500.0,2.8,2.95,3.05,3.15,3.65,3.4,,,,,,,
38,Dhanauli,555625.0,3111630.0,2.1,2.3,2.4,2.6,3,2.8,,,,,,,
39,Rajaina,553125.0,3113000.0,3.2,3.35,3.5,3.6,3.8,3.65,,,,,,,
40,Bhathawa,555000.0,3113380.0,2.55,2.65,2.7,2.9,3.2,3.15,,,,,,,
41,,,,,,,,,,,,,,,,
42,Rajgarhawa,568500.0,,-,-,-,-,-,-,,,,,,,
43,Di- Gaon,560000.0,,1.25,1.35,1.4,1.5,1.7,1.55,,,,,,,
44,Kalahans - Gaon,554250.0,,0.55,0.65,0.7,1.5,1.85,1.8,,,,,,,
45,Gaughat,554625.0,,1.85,1.95,2,2.6,3.27,3.15,,,,,,,
46,Balapur,578875.0,,2.2,4.3,4.36,4.7,5.2,5.1,,,,,,,
47,Binauna,582750.0,,2.26,2.29,3.29,3.69,3.89,3.79,,,,,,,
