,Unnamed: 0,UN STWs,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,1,Chhattapipra,297050,2999500,-,-,-,-,-,-,-,-,-,-,-,-,filled
1,2,Pheta,297900,2988500,2.3,2.75,3.1,3.55,3.7,3.85,3.5,3.2,3,,,,filled
2,3,Simera,299800,3008100,6.25,6.4,7.1,6.35,6.25,7.5,7.35,7.25,7.15,6.9,6.85,6.95,
3,4,Motiarna,299500,2984350,-,-,-,-,-,-,-,-,-,-,-,-,filled
4,5,Bariyarpur,306200,2986450,-,-,-,-,-,-,-,-,-,-,-,-,filled
5,6,Kabahi goth,304600,2978900,2.5,2.65,2.75,2.95,3.05,3.15,2,1.8,1.6,1.7,1.9,2.2,
6,7,Khesraul,300800,3001000,2.95,3,3.05,3.3,3,2.45,2.4,1.5,1.45,1.82,2.55,2.75,
7,8,Kuowa,311600,2981450,4.4,4.9,5.2,5.35,5.65,5.7,4.4,3.6,3.4,3.6,3.65,3.95,
8,9,Badarwa,307600,3004200,2.02,2.07,2.16,2.35,2.05,1.35,1.25,0.6,0.55,1.4,1.6,1.85,
9,10,Bodhban,312600,2997000,1.15,1.2,1.25,1.35,1.5,1.4,1.35,1.3,1.25,1.1,1.05,1.1,
10,11,Kolvi,319600,2994500,-,-,-,-,-,-,-,-,-,-,-,-,filled
11,12,"Shreenagar, Bairiaya. ",311400,2974700,-,-,-,-,-,-,-,-,-,-,-,-,filled
12,13,Paterwa,318200,2978950,-,-,-,-,-,-,-,-,-,-,-,-,filled
13,14,Nijgarh,320500,3010600,-,-,-,-,-,-,-,-,-,-,-,-,filled
14,15,Bishanpurwa,316200,2986100,3.25,3.45,3.9,4,4.25,4.4,3.65,3.2,1.7,1.9,2.1,2.4,
15,16,Pathaliya,300500,3009000,25.4,25.5,25.53,-,-,-,-,-,-,-,-,-,filled
16,17,Baragadi,312500,2991100,-,-,-,-,-,-,-,-,-,-,-,-,filled
17,18,Nautan,293000,2992150,1.75,1.8,2.15,5.5,5.7,3.2,2,0.4,0.2,0.85,1,1.2,
18,19,Bashrampur,291050,2986900,3.75,4,4.2,4.4,4.75,4.9,3.6,3.15,3,3.2,3.45,3.6,
19,20,Bisulpur,305500,2990900,-,-,-,-,-,-,-,-,-,-,-,-,filled
20,21,Surahi,302400,2995200,-,-,-,-,-,-,-,-,-,-,-,-,filled
21,22,Simraumgarh,317000,2974600,-,-,-,-,-,-,-,-,-,-,-,-,filled
22,23,Mahandranagar,,,4.15,4.2,4.8,4.85,5.1,3.95,3.9,3.35,3.3,3.75,4.15,4.05,
23,24,Majhariaya,306900,2983500,-,-,-,-,-,-,-,-,-,-,-,-,filled
24,25,Parwanipur,297100,2992000,3.04,3.1,3.15,3.55,3.67,2.65,2.6,1.55,1.7,2.6,2.55,2.9,
25,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,
27,,Well Observation Data,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,
30,District:- Bara,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,Year: 2000,
32,S. No.,Location ,X,Y,Static Water Level Data,,,,,,,,,,,,Remarks
33,,,,,  Jan.,  Feb.,  Mar.,  Apr.,  May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,
34,,DTWs.,,,,,,,,,,,,,,,
35,26,Fatepur,,,-,-,-,-,-,-,-,-,-,-,-,,flowing
36,27,Bodhban,311125,2997630,-,-,-,-,-,-,-,-,-,-,-,,flowing
37,28,Bagewakolvi,,,2.4,2.5,2.45,2.55,2.7,2.9,2.4,1.5,1.4,1.65,1.75,1.95,
38,29,Rampurwa,,,6.65,6.8,7.15,7.3,7.5,7.65,7.4,6,5.55,5.7,5.85,6.1,
39,30,Julgawa,,,1.65,1.95,2.05,2.25,2.45,2.6,2.4,1.5,1.3,1.25,1.4,1.6,
40,31,Lautan,,,0.25,0.4,0.45,0.55,0.7,0.75,0.6,-,-,-,0.2,0.45,
41,32,Kacchrwa,318500,2974600,5.3,5.4,5.65,5.65,5.8,5.9,5.4,5.5,4.45,4.65,4.85,5.05,
42,33,Bhataniaya,,,3.05,3.2,3.45,4,4.2,4.35,3.5,3.1,1.7,1.85,2,2.2,
43,34,Shreepur,,,1.3,1.55,1.65,0.6,0.7,0.85,0.6,0.8,0.55,0.65,0.75,0.95, 
44,35,Bakuliya,,,-,-,-,-,-,-,-,-,-,-,-,,unable to open
45,36,Basdilawa,,,-,-,-,-,-,-,-,-,-,-,-,,flowing
