,Unnamed: 0,UN Shallow Tubewells,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,1,Rohini Khola.,569500,3119130,3.19,5.2,5.3,5.34,6.98,5.9,5.81,3.2,3.45,3.49,3.6,5.2,
1,2,Jabadhawa,563200,3125700,3.87,4.2,-,-,-,-,-,-,-,-,-,4.2,Pump fitted
2,3,Banktuwa,561500,3120700,2.1,3.4,3.06,3.1,3.16,2.55,2.5,1.65,1.7,1.77,1.92,3.4,
3,4,Channawa,561300,3119200,-,-,-,-,-,1.07,1,0.85,0.95,1,1.21,-,
4,5,Thapawa,557300,3118750,0.4,-,0.13,0.15,0.2,0.15,0.1,5,6,0.1,0,-,Fllowing
5,6,Piprahawa,564800,3112800,-,-,-,-,-,-,-,-,-,-,-,-,Pump  not open
6,7,Bhujai,562100,3107400,2.11,2.21,2.5,2.56,2.6,1.6,1.54,0.95,1,0.1,1.1,2.21,
7,8,Birta,564900,3103000,2.1,2.9,3.26,3.31,3.36,2.66,2.62,2.45,2.5,2.55,2.63,2.9,
8,9,Shikhanpurwa,565600,3099200,-,-,-,-,-,-,-,-,-,-,-,-,Pump nor open
9,10,Kharaicha,570875,3095900,2,2.16,2.25,2.3,2.35,1.9,1.83,1.75,1.82,1.85,1.95,2.16,
10,11,Jaispur,559100,3100800,2.46,3.65,3.8,3.86,4.6,2.9,2.65,2.5,2.6,2.66,2.73,3.65,
11,12,Bahartha,575250,3198880,1.2,2.2,2.31,2.4,2.5,1.7,1.52,1.35,1.7,1.8,1.96,2.2,
12,13,Materiya,577700,3090200,-,-,-,-,-,-,-,-,-,-,-,-,Damage
13,14,Narainapur,582700,3087850,0.54,1.6,1.75,1.82,1.89,1.35,1.27,1,1.1,1.15,1.24,1.6,
14,15,Majharaitiya,574200,3119750,2.45,2.85,2.9,2.94,2.98,2.2,2.13,1.49,1.65,1.7,1.75,2.85,
15,16,Rajgarhwa,568400,3111800,4.4,4.8,4.75,4.83,4.9,3.7,3.61,3.25,3.32,3.3,3.35,4.8,
16,17,D- Gaon,560000,3114200,2.8,2.85,3.14,3.19,3.25,2.18,2,2.95,2.97,3,3.05,2.85,
17,18,Klahas - Gaon,554200,3113800,1.48,2.2,2.1,2.2,2.26,2.9,1.79,1.36,1.42,1.49,1.55,2.2,
18,19,Gaughat,554600,3108800,2.2,3.26,3.52,3.6,3.64,3.55,3.48,2.2,2.3,2.4,2.53,3.26,
19,20,Mahadevpuri,574200,3119750,-,0,-,-,-,-,-,-,0.9,0.14,0,0,Fllowing
20,21,Balapur,578900,3113800,3.22,4.26,3.14,3.21,4.06,3.05,3,2.64,2.71,2.81,2.92,4.26,
21,22,Kachanapur,586000,3105200,-,0,-,-,-,-,-,-,-,-,-,0,Damage
22,23,Binauna,582500,3104200,3.05,3.46,3.12,3.2,3.59,2.5,2.42,2,2.91,2.2,2.33,3.46,Pump fitted
23,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,
26,WELL OBSERVATION RECORD,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,
28,District:- Banke ,,,,,,,,,,,,,,,Year : 2001,
29,,Location,X,Y,Static Water Level Data,,,,,,,,,,,,
30,,,,,   Jan.,   Feb.,   Mar.,  Apr.,  May,   Jun., Jul., Aug.,Sep.,Oct.,Nov.,Dec.,Remarks
31,,NISP DTWs,,,,,,,,,,,,,,,
32,1,K-gaon,,,,,,,,,,,,,,,
33,2,L-gaon,,,12.6,12.2,12.21,12.24,12.34,,12.11,,12.1,12.2,12.24,12.28,
34,3,Gaughat,,,11.05,11.1,11.1,11.14,11.14,,12.04,0.81,10.09,10.11,11.26,11.35,
35,4,Gaughat,,,10.65,11.78,11.78,11.6,11.8,,12.68,0.25,11.35,11.43,11.44,11.47,
36,,,, ,10.97,,11.02,11.05,11.05,,10.85,0.6,10.55,10.65,10.68,10.71,
