,S.No.,Well No.,Location ,X,Y,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks
0,1,1-045/46(BK)1,Rohini Khola,,,5.1,4.7,4.9,5.05,5.35,5.55,   ,4.45,4.35,2.05,2.65,,
1,2,1-045/46(BK)2,Jabdhawa,569500,3119130,-,-,-,-,-,-,,-,-,-,-,,
2,3,1-045/46(BK)3,Banktuwa,563125,3125750,2.95,2.55,2.75,3.1,3.3,3.45,,2.35,2.05,2.05,2.5,,
3,4,1-045/46(BK)4,Channawa,,,0.81,0.76,0.96,1.66,1.96,2.16,,1.21,0.81,0.16,0.31,,
4,5,1-045/46(BK)5,Thapawa,,,2.56,2.26,2.46,2.96,3.26,3.46,,2.31,2.26,1.81,2.01,,
5,6,1-045/46(BK)6,Piprahwa,,,3.45,3.4,3.6,4,4.2,4.6,,2.15,2,1.7,2.15,,
6,7,1-045/46(BK)7,Bhujai,,,-,-,-,-,-,-,,-,-,-,-,,
7,8,1-045/46(BK)8,Birta,557250,3118750,5.19,5.54,5.59,5.74,5.89,6.09,,3.74,3.54,2.89,3.54,,
8,9,1-045/46(BK)9,Sikhanpurwa ,564750,3102880,3,3.1,3.3,4.05,4.25,4.45,,2.05,1.9,1.6,2,,
9,10,1-045/46(BK)10,Kharaicha,565625,3099130,3.2,3,3.2,3.5,3.7,3.9,,1.85,1.7,1.35,1.8,,
10,11,1-045/46(BK)11,Jaishpur,570875,3096000,4.4,4.7,4.95,5.05,5.3,5.5,,2.65,2.55,1.95,2.25,,
11,12,1-045/46(BK)12,Bahartha,559100,3100800,-,-,-,-,-,-,,-,-,-,-,,
12,13,1-045/46(BK)13,Materiya,575250,3198880,-,-,-,-,-,-,,-,-,-,-,,
13,14,1-045/46(BK)14,Narainapur,577625,3090250,-,-,-,-,-,-,,-,-,-,-,,
14,15,1-045/46(BK)15,Majharatriya,,,-,-,-,-,-,-,,-,-,-,-,,
15,16,1-045/46(BK)16,Rajgarhwa,,,5.25,5.45,5.5,5.7,5.85,6.1,,4.05,3.95,3.85,3.95,,
16,17,1-045/46(BK)17,D-gaon,,,2.3,2.7,2.95,3.7,3.95,4,,2.35,2.3,1.65,1.6,,
17,18,1-045/46(BK)18,Kalhansgaon,560000,,2.33,2.08,2.28,3.53,3.88,3.98,,2.28,2.13,1.63,1.23,,
18,19,1-045/46(BK)19,Gaughat,554250,,3.32,4.02,4.17,4.37,4.57,4.87,,3.07,2.92,2.57,3.17,,
19,20,1-045/46(BK)20,Mahadevpuri,554625,,-,-,-,-,-,-,,-,-,-,-,,
20,21,1-045/46(BK)21,Balapur,,,2.7,2.6,3.65,3.3,3.5,3.95,,2.3,2.15,2.05,2.3,,
21,22,1-045/46(BK)22,Kachanapur,578875,,-,-,-,-,-,-,,-,-,-,-,,
22,23,1-045/46(BK)23,Binauna,,,-,-,-,-,-,-,,-,-,-,-,,
23,24,,Office compound,582750,,2.96,2.56,3.3,3.56,3.91,4.26,,1.56,1.56,1.41,1.86,,
24,25,,Kajurakurda,,,2.08,-,-,2.73,2.93,3.13,,1.78,1.73,1.33,1.63,,
25,26,,Banjaregaon,,,2.4,2.3,2.75,2.9,3.3,3.25,,2.2,2,1.85,1.85,,
26,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,Well Observation Data,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,
32,District : Banke,,,,,,,,,,,,,,,Year : 2005,,
33,,,,,,,,,,,,,,,,,,
34,,,,,,,,,Static Water Level Data ,,,,,,,,,
35,S.No.,Well No.,Location ,X,Y,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks
36,,,DTW,,,,,,,,,,,,,,,
37,27,,K Gaon,,,11.28,9.83,-,11.13,12.23,12.33,,11.13,10.93,10.73,11.73,,
38,28,,L Gaon,,,11.6,10.85,-,12.35,11.35,12.35,,11.5,11.25,10.9,11.65,,
39,29,,Gaughat,,,11.53,10.38,-,10.68,10.88,12.18,,11.08,10.83,10.78,10.83,,
40,30,,Gaughat,,,12.01,10.01,-,12.01,10.01,10.81,,10.01,9.86,9.61,10.71,,
41,31,,Parspur,,,2.88,2.88,-,3.08,4.28,4.43,,2.08,1.78,1.43,2.08,,
