,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks
0,1,1-045/46(BK)1,Rohini Khola,569500,3119130,3.35,3.5,3.7,3.95,4.95,4.9,3.15,2.75,2.55,2.55,2.75,3.1,
1,2,1-045/46(BK)2,Jabdhawa,563125,3125750,2.75,3,3.15,3.3,4.1,4,2.85,2.65,2.35,2.4,2.65,2.85,
2,3,1-045/46(BK)3,Banktuwa,561625,3120630,2.7,2.9,3.05,3.15,3.75,3.55,2.95,2.45,2.25,2.05,2.35,2.9,
3,4,1-045/46(BK)4,Channawa,,,1.21,1.31,1.41,1.46,1.66,1.46,1.55,0.55,0.45,0.11,0.41,1.25,
4,5,1-045/46(BK)5,Thapawa,557250,3118750,2.31,2.51,2.81,2.96,3.36,3.26,2.9,1.6,1.45,1.36,1.51,2.15,
5,6,1-045/46(BK)6,Piprahwa,570700,3095900,2.5,2.95,3.1,3.45,3.7,3.55,2.5,1.75,1.55,1.55,1.9,2.35,
6,7,1-045/46(BK)7,Bhujai,562100,3107400,1.8,2,2.1,2.8,3,2.8,1.35,0.56,55,0.75,1.15,1.75,
7,8,1-045/46(BK)8,Birta,564750,3102880,3.49,3.74,3.99,4.09,4.84,4.74,3.25,3.15,2.95,2.74,2.89,3.35,
8,9,1-045/46(BK)9,Sikhanpurwa ,565625,3099130,2.5,2.7,2.9,3.05,3.6,3.4,2.65,1.65,1.55,1.4,1.6,2.15,
9,10,1-045/46(BK)10,Kharaicha,570875,3096000,2.15,2.5,2.7,2.85,3.35,2.75,2.25,1.45,1.35,1.15,1.35,1.85,
10,11,1-045/46(BK)11,Jaishpur,559100,3100800,3.05,3.2,3.35,3.55,3.95,3.65,2.75,2.35,2.15,2.05,2.2,2.55,
11,12,1-045/46(BK)16,Rajgarhwa,568500,3111880,3.85,4.15,4.35,4.55,5.05,4.95,3.35,2.85,2.75,2.55,2.95,3.5,
12,13,1-045/46(BK)17,D-gaon,560000,3114250,2.2,2.35,2.55,2.6,2.95,2.8,2.15,0.65,0.55,0.7,1.3,1.75,
13,14,1-045/46(BK)18,Kalhansgaon,554250,3113750,1.83,1.13,2.33,2.43,2.68,2.48,1.85,0.55,0.5,0.48,0.98,1.55,
14,15,1-045/46(BK)19,Gaughat,554625,3108750,4.02,4.22,4.42,4.62,4.87,4.62,3.15,2.55,2.45,2.52,2.92,3.35,
15,16,1-045/46(BK)20,Mahadevpuri,,,,,,,,,,,,,,,flowing
16,17,1-045/46(BK)21,Balapur,578875,3113750,2.55,2.85,3.05,3.3,3.65,3.45,3.35,2.85,2.75,2.05,2.3,3.2,
17,18,NISP-STW/1,Office compound,,,2.31,2.56,2.96,3.11,3.61,3.56,2.2,1.75,1.7,1.31,1.61,2.65,
18,19,NISP-INV-STW/8,Kajurakurda,,,1.93,2.08,2.38,2.48,2.73,2.63,2.25,1.85,1.6,1.28,1.63,2.15,
19,20,NISP-INV-STW/10,Banjaregaon,,,2.05,2.35,2.65,2.65,2.85,2.7,2.15,1.75,1.45,1.35,1.5,1.9,
20,21,NISP-INV-STW/11,Ramapurwa,,,1.1,1.4,1.55,1.85,2.1,1.6,2.1,1.55,1.35,0.4,0.6,1.95,
21,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,
24,,Well Observation Data,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,
27,District : Banke,,,,,,,,,,,,,,,Year : 2007,,
28,,,  ,,,,,,Static Water Level Data ,,,,,,,,,
29,S.No.,Well No.,Location ,X,Y,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks
30,,,DTW,,,,,,,,,,,,,,,
31,28,,K Gaon,,,11.73,11.88,11.93,11.43,11.98,11.48,10.75,10.65,10.55,10.78,10.88,11.48,
32,29,,L Gaon,,,11.5,11.6,11.7,11.6,11.85,11.4,11.45,11.45,11.35,11.4,11.2,11.1,
33,30,,Gaughat,,,11.48,11.33,11.43,11.13,11.33,11.03,11.35,11.55,11.65,11.43,11.53,11.13,
34,31,,Gaughat,,,-,-,-,-,-,-,-,-,-,-,-,-,
35,32,,Parspur,,,2.63,2.88,3.33,3.43,3.68,3.63,2.35,2.1,1.95,1.68,1.88,2.08,
