S.No.,Well No.,Location ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks
1,1-045/46(BK)1,Rohini Khola,2.95,3.25,3.55,3.9,4.55,4.35,3.05,2.55,2.45,2.45,2.6,2.95,
2,1-045/46(BK)2,Jabdhawa,2.8,3,3.15,3.3,4.05,3.7,2.6,2.4,2.35,2.35,2.5,2.75,
3,1-045/46(BK)3,Banktuwa,2.7,2.85,3.05,3.2,3.75,3.35,2.45,2,2.3,2.05,2.15,2.45,
4,1-045/46(BK)4,Channawa,0.96,1.21,1.41,1.51,1.66,1.41,0.31,0.21,0.45,0.11,0.21,0.66,
5,1-045/46(BK)5,Thapawa,2.06,2.26,2.51,2.86,3.26,2.96,2.56,1.26,1.4,1.31,1.36,1.56,
6,1-045/46(BK)6,Piprahwa,2.35,2.65,2.95,3.25,3.7,3.3,2.35,1.5,1.5,1.45,1.65,1.95,
7,1-045/46(BK)7,Bhujai,1.8,2,2.15,2.4,3,2.75,1.3,0.65,0.55,0.65,1.05,1.25,
8,1-045/46(BK)8,Birta,3.19,3.39,3.59,3.89,4.79,4.39,2.99,2.74,2.85,2.59,2.84,2.89,
9,1-045/46(BK)9,Sikhanpurwa ,2.1,2.2,2.5,2.85,3.6,3.2,2.3,1.3,1.45,1.35,1.45,1.85,
10,1-045/46(BK)10,Kharaicha,1.55,1.7,1.95,2.25,2.75,2.4,1.75,1,1.35,1.05,1.15,1.35,
11,1-045/46(BK)11,Jaishpur,2.55,2.95,3.35,3.4,3.9,3.55,2.45,2.05,2.1,2,2.15,2.3,
12,12-045/46(B/K)12,Bahartha,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
13,13-045/46(B/K)13,Materiya,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
14,14-045/46(B/K)14,Narainapur,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
15,15-045/46(B/K)15,Majharatiya,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
16,1-045/46(BK)16,Rajgarhwa,3.25,3.45,3.75,4.05,4.95,4.35,3.05,2.35,2.65,2.45,2.75,2.95,
17,1-045/46(BK)17,D-gaon,1.75,2,2.3,2.5,2.8,2.45,2.05,0.6,0.6,0.6,1.2,1.4,
18,1-045/46(BK)18,Kalhansgaon,1.48,1.68,1.98,2.28,2.58,2.38,1.58,0.38,0.55,0.43,0.98,1.18,
19,1-045/46(BK)19,Gaughat,3.32,3.52,3.87,4.17,4.92,4.57,2.97,2.22,2.4,2.42,2.57,2.72,
20,1-045/46(BK)20,Mahadevpuri,+,+,+,+,+,+,+,+,+,+,+,+,Flowing
21,1-045/46(BK)21,Balapur,2.55,2.55,3.05,3.35,3.7,3.3,2.45,1.95,2.6,2.15,2.3,2.45,
22,22-045/46(B/K)22,Kanchanpur,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
23,23-045/46 (B/K) 23,Binauna,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
24,NISP-STW/1,Office compound,2.31,2.56,2.81,3.01,3.56,2.96,1.71,1.16,1.55,1.21,1.81,2.11,
25,NISP-INV-STW/8,Kajurakurda,1.83,1.98,2.23,2.43,2.73,2.48,1.68,1.28,1.65,1.38,1.68,1.78,
26,NISP-INV-STW/10,Banjaregaon,1.85,2.1,2.5,2.6,2.92,2.6,1.85,1.4,1.4,1.3,1.4,1.6,
27,NISP-INV-STW/11,Ramapurawa,0.9,1.05,1.4,1.55,2,1.65,0.9,0.25,1.35,0.2,0.5,0.7,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Well Observation Data,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
District : Banke,,,,,,,,,,,,,Year : 2008,,
,,  ,Static Water Level Data ,,,,,,,,,,,,
S.No.,Well No.,Location ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks
,,DTW,,,,,,,,,,,,,
1,SP-1,K Gaon,11.73,11.88,11.93,11.48,11.98,11.48,10.18,10.13,10.08,10.38,10.73,10.98,
2,SP-6,L Gaon,11.5,11.6,11.6,11.7,11.85,11.4,11.35,11.2,11.05,11.4,11.5,11.6,
3,SP-9,Gaughat,11.48,11.33,11.73,11.13,11.33,11.03,10.98,10.83,10.73,10.93,11.13,11.33,
4,SP-13,Gaughat,-,-,-,-,-,-,-,-,-,-,-,-,Damaged
5,EXPT-7,Parspur,2.28,2.68,3.28,3.43,3.68,3.08,1.78,1.63,1.38,1.48,1.88,2.28,
