,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Remarks,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,1,1-045/46(BK)1,Rohini Khola,,,3.1,3.35,3.65,3.95,4.65,4.95,4.05,2.45,2.35,2.55,2.1,2.2,,,,,
1,2,2-045/46(BK)2,Jabdhawa,563200,3125700,3,3.15,3.3,3.6,4.1,4.2,3.6,2.3,2.2,2.4,2.55,2.7,,,,,
2,3,3-045/46(BK)3,Banktuwa,561500,3120700,2.7,2.95,3.15,3.4,3.95,4.15,3.15,2.15,2.05,2.1,2.45,3.05,,,,,
3,4,4-045/46(BK)4,Channawa,561300,3119200,0.91,1.11,1.46,1.71,2.01,2.21,1.91,0.11,0.01,0.21,0.31,0.96,,,,,
4,5,5-045/46(BK)5,Thapawa,557300,3118750,1.86,2.06,2.46,2.81,3.36,3.46,2.96,1.36,1.26,1.36,1.46,1.56,,,,,
5,6,6-045/46(BK)6,Piprahwa,564800,3112800,2.25,2.75,3.05,3.35,3.95,4.15,3.55,1.55,1.45,1.55,1.95,2.55,,,,,
6,7,7-045/46(BK)7,Bhujai,562100,3107400,1.55,1.75,2.05,2.35,3.1,3.35,3.05,0.55,0.4,0.65,1.1,1.3,,,,,
7,8,8-045/46(BK)8,Birta,564900,3103000,3.09,3.34,3.74,3.99,4.89,5.04,4.49,2.59,2.44,2.54,3.19,3.39,,,,,
8,9,9-045/46(BK)9,Sikhanpurwa ,565600,3099200,2.05,2.25,2.7,2.9,3.9,4.05,3.5,1.4,1.3,1.4,1.6,1.9,,,,,
9,10,10-045/46(BK)10,Kharaicha,570750,3095900,1.5,1.75,2.05,2.35,3.1,2.85,2.45,1.05,0.9,1.05,1.25,1.45,,,,,
10,11,11-045/46(BK)11,Jaishpur,559100,3100800,2.45,2.758,3.15,3.65,4.15,4.45,3.95,1.95,1.75,1.95,2.35,2.7,,,,,
11,12,12-045/46(B/K)12,Bahartha,,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged,,,,
12,13,13-045/46(B/K)13,Materiya,,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged,,,,
13,14,14-045/46(B/K)14,Narainapur,,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged,,,,
14,15,15-045/46(B/K)15,Majharatiya,,,-,-,-,-,-,-,-,-,-,-,-,-,Damaged,,,,
15,16,16-045/46(BK)16,Rajgarhwa,568400,3111800,3.15,3.35,3.75,4.15,4.75,4.95,4.45,2.3,2.15,2.35,2.85,4.35,,,,,
16,17,17-045/46(BK)17,D-gaon,560000,3114200,1.6,2.2,2.5,2.7,2.95,3.1,2.6,0.5,0.4,0.7,1.05,2,,,,,
