,Unnamed: 0,Unnamed: 1,STWs,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,1.0,1-045/46(BK)1,Rohini Khola,,,2.45,2.55,2.9,3.1,3.2,3.45,2.3,0.95,1.05,1.25,1.5,1.9,
1,2.0,1-045/46(BK)2,Jabdhawa,563200.0,3125700.0,2.15,2.2,2.35,2.6,2.95,3.1,2.2,1.3,1.35,1.45,1.65,1.75,
2,3.0,1-045/46(BK)3,Banktuwa,561500.0,3120700.0,3.35,3.45,3.75,4.05,5.2,5.75,4.15,1.8,1.95,2.15,2.35,2.55,
3,4.0,1-045/46(BK)4,Channawa,561300.0,3119200.0,0.91,1.01,1.31,1.66,2.31,2.46,1.81,0.36,0.41,0.46,0.66,0.71,
4,5.0,1-045/46(BK)5,Thapawa,557300.0,3118750.0,0.41,0.51,0.61,0.86,1.96,2.11,1.06,0.11,0.16,0.21,0.26,0.31,
5,6.0,1-045/46(BK)6,Piprahwa,564800.0,3112800.0,3.15,3.3,3.65,4.4,4.7,5.05,4.1,1.9,2.0,2.1,2.25,2.35,
6,7.0,1-045/46(BK)7,Bhujai,562100.0,3107400.0,1.7,1.8,2.2,3.1,3.75,4.2,1.8,0.3,0.4,0.55,1.0,1.05,
7,8.0,1-045/46(BK)8,Birta,564900.0,3103000.0,3.54,3.79,3.99,4.54,5.04,5.54,4.09,2.09,2.19,2.34,2.54,2.74,
8,9.0,1-045/46(BK)9,Sikhanpurwa ,565600.0,3099200.0,2.55,2.6,2.85,3.25,3.65,3.95,3.3,1.1,1.25,1.35,1.5,1.65,
9,10.0,1-045/46(BK)10,Kharaicha,570750.0,3095900.0,2.55,2.7,2.85,3.15,3.45,3.75,2.95,0.85,1.0,1.3,1.7,1.8,
10,11.0,1-045/46(BK)11,Jaishpur,559100.0,3100800.0,1.95,2.05,2.2,2.65,3.55,3.75,3.05,1.25,1.4,1.45,1.5,1.65,
11,13.0,1-045/46(BK)17,D-gaon,560000.0,3114200.0,1.8,2.0,2.15,2.55,3.7,3.75,2.6,0.4,0.5,0.6,0.75,1.05,
12,14.0,1-045/46(BK)18,Kalhansgaon,554200.0,3113800.0,1.18,1.23,1.43,1.88,3.48,3.58,2.38,0.18,0.23,0.33,0.43,0.58,
13,15.0,1-045/46(BK)19,Gaughat,554600.0,3108800.0,2.87,2.92,3.17,3.87,4.67,5.02,3.92,1.92,2.07,2.17,2.27,2.37,
14,16.0,1-045/46(BK)20,Mahadevpuri,574200.0,3119750.0,,,,,,,,,,,,,flowing
15,18.0,NISP-STW/1,Office compound,,,2.71,2.76,3.31,3.91,4.36,4.66,3.71,1.36,1.41,1.56,1.76,1.86,
16,19.0,NISP-INV-STW/8,Kajurakurda,,,1.93,2.03,2.18,2.63,2.98,3.13,2.38,0.98,1.08,1.23,1.33,1.43,
17,20.0,NISP-INV-STW/10,Banjaregaon,,,1.95,2.05,2.3,2.9,3.15,3.3,2.5,1.1,1.15,1.2,1.25,1.3,
18,21.0,NISP-INV-STW/11,Ramapurwa,,,2.6,2.85,3.2,3.7,4.6,5.0,3.6,1.15,1.3,1.4,1.65,1.9,
19,,,DTW,,,,,,,,,,,,,,,
20,1.0,SP-1,K Gaon,,,11.38,11.43,11.73,11.98,12.13,12.28,11.18,10.78,10.88,10.98,11.08,11.18,
21,2.0,SP-6,L Gaon,,,11.35,11.4,11.55,11.9,12.0,12.1,11.0,9.95,10.05,10.15,10.2,10.25,
22,3.0,SP-9,Gaughat,,,11.38,11.48,11.73,11.98,12.13,12.28,11.08,10.68,10.78,10.88,10.98,11.18,
23,4.0,SP-13,Gaughat,,,10.26,10.31,10.61,10.81,10.91,11.01,9.96,9.66,9.76,9.91,10.01,10.06,
24,5.0,EXPT-7,Parspur,,,2.83,2.93,3.13,3.43,4.03,4.88,2.68,0.93,1.03,1.33,1.43,2.03,
25,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,
27,,, ,,,,,,,,,,,,,,,
