,serial number,Well number,well_no,longitude,latitude,location,Well type,remarks,year,month,value
257,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2001,Jan,3.19
258,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2001,Jan,3.87
259,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2001,Jan,2.1
260,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2001,Jan,NA
261,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Fllowing,2001,Jan,0.4
262,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,Pump  not open,2001,Jan,NA
263,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2001,Jan,2.11
264,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2001,Jan,2.1
265,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Pump nor open,2001,Jan,NA
266,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2001,Jan,2
267,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,NA,2001,Jan,2.46
268,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2001,Jan,1.2
269,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damage,2001,Jan,NA
270,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2001,Jan,0.54
271,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2001,Jan,2.45
272,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2001,Jan,4.4
273,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2001,Jan,2.8
274,18,NA,bk-sw-18_1,554250,3113800,Klahas_Gaon,Shallow well,NA,2001,Jan,1.48
275,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2001,Jan,2.2
276,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Fllowing,2001,Jan,NA
277,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2001,Jan,3.22
278,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damage,2001,Jan,NA
279,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2001,Jan,3.05
280,1,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2001,Jan,12.6
281,2,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2001,Jan,11.05
282,3,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2001,Jan,10.65
283,4,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2001,Jan,10.97
632,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2001,Feb,5.2
633,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2001,Feb,4.2
634,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2001,Feb,3.4
635,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2001,Feb,NA
636,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Fllowing,2001,Feb,NA
637,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,Pump  not open,2001,Feb,NA
638,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2001,Feb,2.21
639,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2001,Feb,2.9
640,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Pump nor open,2001,Feb,NA
641,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2001,Feb,2.16
642,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,NA,2001,Feb,3.65
643,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2001,Feb,2.2
644,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damage,2001,Feb,NA
645,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2001,Feb,1.6
646,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2001,Feb,2.85
647,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2001,Feb,4.8
648,17,17-045/46(BK)17,bk-sw-17_1,560000,3114200,D_Gaon,Shallow well,NA,2001,Feb,2.85
649,18,NA,bk-sw-18_1,554250,3113800,Klahas_Gaon,Shallow well,NA,2001,Feb,2.2
650,19,19-045/46(BK)19,bk-sw-19_1,554600,3108800,GaughatSW,Shallow well,NA,2001,Feb,3.26
651,20,20-045/46(BK)20,bk-sw-20_1,574200,3119750,Mahadevpuri,Shallow well,Fllowing,2001,Feb,0
652,21,21-045/46(BK)21,bk-sw-21_1,578900,3113800,Balapur,Shallow well,NA,2001,Feb,4.26
653,22,22-045/46(B/K)22,bk-sw-22_1,586000,3105200,Kanchanpur,Shallow well,Damage,2001,Feb,0
654,23,23-045/46(B/K)23,bk-sw-23_1,582500,3104200,Binauna,Shallow well,Pump fitted,2001,Feb,3.46
655,1,SP-1,bk-dw-01,81.60245,28.05131,K_Gaon,Deep well,NA,2001,Feb,12.2
656,2,SP-6,bk-dw-02,81.54661,28.08181,L_Gaon,Deep well,NA,2001,Feb,11.1
657,3,SP-9,bk-dw-03,81.51668,28.12222,GaughatDW1,Deep well,NA,2001,Feb,11.78
658,4,SP-13,bk-dw-04_1,81.51731,28.11321,GaughatDW2,Deep well,NA,2001,Feb,NA
1007,1,1-045/46(BK)1,bk-sw-01,569500,3119130,Rohini_Khola,Shallow well,NA,2001,Mar,5.3
1008,2,2-045/46(BK)2,bk-sw-02,569500,3125700,Jabadhawa,Shallow well,Pump fitted,2001,Mar,NA
1009,3,3-045/46(BK)3,bk-sw-03,563125,3125750,Banktuwa,Shallow well,NA,2001,Mar,3.06
1010,4,4-045/46(BK)4,bk-sw-04,561300,3119200,Channawa,Shallow well,NA,2001,Mar,NA
1011,5,5-045/46(BK)5,bk-sw-05_1,557300,3118750,Thapawa,Shallow well,Fllowing,2001,Mar,0.13
1012,6,6-045/46(BK)6,bk-sw-06_1,564800,3112800,Piprahawa,Shallow well,Pump  not open,2001,Mar,NA
1013,7,7-045/46(BK)7,bk-sw-07_1,562100,3107400,Bhujai,Shallow well,NA,2001,Mar,2.5
1014,8,8-045/46(BK)8,bk-sw-08_1,564900,3118750,Birta,Shallow well,NA,2001,Mar,3.26
1015,9,9-045/46(BK)9,bk-sw-09_1,565600,3102880,Shikhanpurwa,Shallow well,Pump nor open,2001,Mar,NA
1016,10,10-045/46(BK)10,bk-sw-10_1,570875,3099130,Kharaicha,Shallow well,NA,2001,Mar,2.25
1017,11,11-045/46(BK)11,bk-sw-11_1,570875,3100800,Jaispur,Shallow well,NA,2001,Mar,3.8
1018,12,12-045/46(B/K)12,bk-sw-12_1,575250,3198880,Bahartha,Shallow well,NA,2001,Mar,2.31
1019,13,13-045/46(B/K)13,bk-sw-13_1,577700,3198880,Materiya,Shallow well,Damage,2001,Mar,NA
1020,14,14-045/46(B/K)14,bk-sw-14_1,582700,3090250,Narayanpur,Shallow well,NA,2001,Mar,1.75
1021,15,15-045/46(B/K)15,bk-sw-15_1,574200,3119750,Majharaitiya,Shallow well,NA,2001,Mar,2.9
1022,16,16-045/46(BK)16,bk-sw-16_1,568400,3111800,Rajgarhawa,Shallow well,NA,2001,Mar,4.75
