"Plot Title:  20976218"
"#","Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976218, SEN S/N: 20976218)","Temp, °C (LGR S/N: 20976218, SEN S/N: 20976218)","Water Level, meters (LGR S/N: 20976218)","Coupler Detached (LGR S/N: 20976218)","Coupler Attached (LGR S/N: 20976218)","Host Connected (LGR S/N: 20976218)","End Of File (LGR S/N: 20976218)"
1,02/07/21 05:00:00 PM,134.074,24.835,-3.600,Logged,,,
2,02/08/21 05:00:00 AM,134.257,24.835,-3.581,,,,
3,02/08/21 05:00:00 PM,133.527,24.835,-3.656,,,,
4,02/09/21 05:00:00 AM,133.679,24.835,-3.640,,,,
5,02/09/21 05:00:00 PM,132.919,24.835,-3.718,,,,
6,02/10/21 05:00:00 AM,133.496,24.835,-3.659,,,,
7,02/10/21 05:00:00 PM,133.284,24.835,-3.681,,,,
8,02/11/21 05:00:00 AM,133.527,24.835,-3.656,,,,
9,02/11/21 05:00:00 PM,133.223,24.835,-3.687,,,,
10,02/12/21 05:00:00 AM,133.649,24.835,-3.643,,,,
11,02/12/21 05:00:00 PM,132.462,24.835,-3.764,,,,
12,02/13/21 05:00:00 AM,133.588,24.835,-3.650,,,,
13,02/13/21 11:20:11 AM,,,,,Logged,,
14,02/13/21 11:20:24 AM,,,,,,Logged,Logged
