,#,"Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976224, SEN S/N: 20976224)","Temp, °C (LGR S/N: 20976224, SEN S/N: 20976224)","Water Level, meters (LGR S/N: 20976224)",Coupler Detached (LGR S/N: 20976224),Coupler Attached (LGR S/N: 20976224),Host Connected (LGR S/N: 20976224),Stopped (LGR S/N: 20976224),End Of File (LGR S/N: 20976224)
0,1,02/08/21 05:00:00 PM,121.928,24.641,-3.08,Logged,,,,
1,2,02/09/21 05:00:00 AM,121.606,24.641,-3.113,,,,,
2,3,02/09/21 05:00:00 PM,121.427,24.641,-3.131,,,,,
3,4,02/10/21 05:00:00 AM,121.212,24.641,-3.153,,,,,
4,5,02/10/21 05:00:00 PM,121.141,24.641,-3.16,,,,,
5,6,02/11/21 05:00:00 AM,121.069,24.641,-3.168,,,,,
6,7,02/11/21 05:00:00 PM,120.881,24.545,-3.187,,,,,
7,8,02/12/21 05:00:00 AM,121.025,24.545,-3.172,,,,,
8,9,02/12/21 01:35:53 PM,,,,,Logged,,,
9,10,02/12/21 01:36:17 PM,,,,,,Logged,,
10,11,02/12/21 01:36:27 PM,,,,,,,Logged,Logged
