#,"Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976218, SEN S/N: 20976218)","Temp, °C (LGR S/N: 20976218, SEN S/N: 20976218)","Water Level, meters (LGR S/N: 20976218)",Coupler Detached (LGR S/N: 20976218),Coupler Attached (LGR S/N: 20976218),Host Connected (LGR S/N: 20976218),End Of File (LGR S/N: 20976218)
1,2/7/2021 17:00,134.074,24.835,-3.6,Logged,,,
2,2/8/2021 5:00,134.257,24.835,-3.581,,,,
3,2/8/2021 17:00,133.527,24.835,-3.656,,,,
4,2/9/2021 5:00,133.679,24.835,-3.64,,,,
5,2/9/2021 17:00,132.919,24.835,-3.718,,,,
6,2/10/2021 5:00,133.496,24.835,-3.659,,,,
7,2/10/2021 17:00,133.284,24.835,-3.681,,,,
8,2/11/2021 5:00,133.527,24.835,-3.656,,,,
9,2/11/2021 17:00,133.223,24.835,-3.687,,,,
10,2/12/2021 5:00,133.649,24.835,-3.643,,,,
11,2/12/2021 17:00,132.462,24.835,-3.764,,,,
12,2/13/2021 5:00,133.588,24.835,-3.65,,,,
13,2/13/2021 11:20,,,,,Logged,,
14,2/13/2021 11:20,,,,,,Logged,Logged
