,Unnamed: 0,Enumerator Name,Geo_location,District,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month,S.No.,Well No.,Location,Longitude,Latitude,district
0,0,yogendra,"[28.0512338, 81.6024418]",Banke,dt,bk-dw-05,,,,27,6.0,2.3,3.43,,2021-06-27,,bk-dw-05,Jun,5,bk-dw-05,Parspur,81.6024541,28.0513081,Banke
1,14,yogendra,"[28.0513467, 81.6024627]",Banke,dt,bk-dw-05,,,,27,6.0,1.4,4.33,,2021-04-07,,bk-dw-05,Apr,5,bk-dw-05,Parspur,81.6024541,28.0513081,Banke
2,43,yogendra,"[28.0513081, 81.6024541]",Banke,dt,bk-dw-05,,,,27,5.0,1.05,3.68,,2021-02-05,,bk-dw-05,Feb,5,bk-dw-05,Parspur,81.6024541,28.0513081,Banke
3,108,yogendra,"[28.0513296, 81.6024401]",Banke,dt,bk-dw-05,,,,27,6.0,1.8,3.93,,2021-03-02,,bk-dw-05,Mar,5,bk-dw-05,Parspur,81.6024541,28.0513081,Banke
4,171,yogendra,"[28.0512932, 81.6024374]",Banke,dt,bk-dw-05,,,,27,7.0,2.2,4.53,,2021-04-30,,bk-dw-05,Apr,5,bk-dw-05,Parspur,81.6024541,28.0513081,Banke
5,219,yogendra,"[28.0513305, 81.6024486]",Banke,dt,bk-dw-05,,,,27,6.0,1.3,4.43,,2021-06-02,,bk-dw-05,Jun,5,bk-dw-05,Parspur,81.6024541,28.0513081,Banke
6,1,yogendra,"[28.0019837, 81.6524184]",Banke,sw,,bk-sw-29,,,40,6.0,1.4,4.2,,2021-06-22,,bk-sw-29,Jun,29,,Baldipurwa,81.6523786,28.0020439,Banke
7,8,yogendra,"[28.0020096, 81.6522108]",Banke,sw,,bk-sw-29,,,40,6.0,1.5,4.1,,2021-02-22,,bk-sw-29,Feb,29,,Baldipurwa,81.6523786,28.0020439,Banke
8,36,yogendra,"[28.0020439, 81.6523786]",Banke,sw,,bk-sw-29,,,40,6.0,1.7,3.9,,2021-01-31,,bk-sw-29,Jan,29,,Baldipurwa,81.6523786,28.0020439,Banke
9,119,yogendra,"[28.002087, 81.652334]",Banke,sw,,bk-sw-29,,,40,7.0,2.05,4.55,,2021-03-30,,bk-sw-29,Mar,29,,Baldipurwa,81.6523786,28.0020439,Banke
