,#,"Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20976217, SEN S/N: 20976217)","Temp, °C (LGR S/N: 20976217, SEN S/N: 20976217)","Water Level, meters (LGR S/N: 20976217)",Coupler Detached (LGR S/N: 20976217),Coupler Attached (LGR S/N: 20976217),Host Connected (LGR S/N: 20976217),End Of File (LGR S/N: 20976217)
0,1,02/05/21 05:00:00 PM,147.532,25.319,-2.19,Logged,,,
1,2,02/06/21 05:00:00 AM,147.688,25.319,-2.174,,,,
2,3,02/06/21 05:00:00 PM,147.376,25.319,-2.206,,,,
3,4,02/07/21 05:00:00 AM,147.594,25.319,-2.184,,,,
4,5,02/07/21 05:00:00 PM,147.47,25.319,-2.196,,,,
5,6,02/08/21 05:00:00 AM,147.688,25.319,-2.174,,,,
6,7,02/08/21 05:00:00 PM,147.345,25.319,-2.209,,,,
7,8,02/09/21 05:00:00 AM,147.376,25.319,-2.206,,,,
8,9,02/09/21 05:00:00 PM,147.126,25.319,-2.231,,,,
9,10,02/10/21 05:00:00 AM,147.184,25.222,-2.225,,,,
10,11,02/10/21 05:00:00 PM,146.997,25.222,-2.245,,,,
11,12,02/11/21 05:00:00 AM,147.157,25.319,-2.228,,,,
12,13,02/11/21 05:00:00 PM,146.872,25.222,-2.257,,,,
13,14,02/12/21 05:00:00 AM,147.184,25.222,-2.225,,,,
14,15,02/12/21 11:30:56 AM,,,,,Logged,,
15,16,02/12/21 11:31:02 AM,,,,,,Logged,Logged
