"Plot Title:  20844294"
"#","Date Time, GMT+05:45","Abs Pres, kPa (LGR S/N: 20844294, SEN S/N: 20844294)","Temp, °C (LGR S/N: 20844294, SEN S/N: 20844294)","Water Level, meters (LGR S/N: 20844294)","Coupler Detached (LGR S/N: 20844294)","Coupler Attached (LGR S/N: 20844294)","Host Connected (LGR S/N: 20844294)","End Of File (LGR S/N: 20844294)"
1,02/07/21 05:00:00 PM,141.548,24.835,-2.850,Logged,,,
2,02/08/21 05:00:00 AM,141.928,24.835,-2.811,,,,
3,02/08/21 05:00:00 PM,141.720,24.835,-2.832,,,,
4,02/09/21 05:00:00 AM,141.651,24.835,-2.839,,,,
5,02/09/21 05:00:00 PM,141.582,24.835,-2.847,,,,
6,02/10/21 05:00:00 AM,141.582,24.835,-2.847,,,,
7,02/10/21 05:00:00 PM,141.479,24.835,-2.857,,,,
8,02/11/21 05:00:00 AM,141.548,24.835,-2.850,,,,
9,02/11/21 05:00:00 PM,141.410,24.835,-2.864,,,,
10,02/12/21 05:00:00 AM,141.582,24.835,-2.847,,,,
11,02/12/21 05:00:00 PM,141.437,24.738,-2.861,,,,
12,02/13/21 05:00:00 AM,141.444,24.835,-2.861,,,,
13,02/13/21 10:35:01 AM,,,,,Logged,,
14,02/13/21 10:35:08 AM,,,,,,Logged,Logged
