,Enumerator Name,Geo_location,District,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month
0,yogendra,"[28.0512338, 81.6024418]",Banke,dt,bk-dw-05,,,,27,6.0,2.3,3.43,,2021-06-27,,bk-dw-05,Jun
1,yogendra,"[28.0019837, 81.6524184]",Banke,sw,,bk-sw-29,,,40,6.0,1.4,4.2,,2021-06-22,,bk-sw-29,Jun
2,yogendra,"[27.9833291, 81.7133238]",Banke,sw,,bk-sw-10_1,,,70,5.0,2.31,1.99,,2021-06-25,,bk-sw-10_1,Jun
3,yogendra,"[28.0285301, 81.6946952]",Banke,sw,,bk-sw-30,,,55,6.0,1.2,4.25,,2021-06-25,,bk-sw-30,Jun
4,yogendra,"[28.0493766, 81.6616486]",Banke,sw,,bk-sw-08_1,,,36,7.0,1.7,4.94,,2021-06-25,,bk-sw-08_1,Jun
5,yogendra,"[28.0928993, 81.6478289]",Banke,sw,,bk-sw-07_1,,,15,2.95,0.5,2.3,,2021-06-23,,bk-sw-07_1,Jun
6,yogendra,"[28.0812159, 81.6450163]",Banke,sw,,bk-sw-24_1,,,54,5.0,2.7,1.76,,2021-06-23,,bk-sw-24_1,Jun
7,yogendra,"[28.0151149, 81.6542853]",Banke,sw,,bk-sw-09_1,,,60,5.0,2.02,2.38,,2021-02-22,,bk-sw-09_1,Feb
8,yogendra,"[28.0020096, 81.6522108]",Banke,sw,,bk-sw-29,,,40,6.0,1.5,4.1,,2021-02-22,,bk-sw-29,Feb
9,yogendra,"[28.0242741, 81.6002787]",Banke,sw,,bk-sw-11_1,,,50,7.0,1.82,4.68,,2021-02-22,,bk-sw-11_1,Feb
10,yogendra,"[28.0780604, 81.5932225]",Banke,sw,,bk-sw-26,,,25,5.0,2.31,2.44,,2021-02-20,,bk-sw-26,Feb
11,yogendral,"[28.1287297, 81.5894124]",Banke,sw,,bk-sw-17_1,,,15,5.0,1.78,3.07,,2021-02-20,,bk-sw-17_1,Feb
12,yogendra,"[28.1132041, 81.5172749]",Banke,dt,bk-dw-04_1,,,,49,15.0,3.45,11.06,,2021-04-07,,bk-dw-04_1,Apr
13,yogendra,"[28.1114016, 81.521705]",Banke,sw,,bk-sw-19_1,,,23,7.0,1.15,5.62,,2021-04-07,,bk-sw-19_1,Apr
14,yogendra,"[28.0513467, 81.6024627]",Banke,dt,bk-dw-05,,,,27,6.0,1.4,4.33,,2021-04-07,,bk-dw-05,Apr
15,yogendra,"[28.0508057, 81.5862265]",Banke,sw,,bk-sw-28,,,55,7.0,1.5,4.95,,2021-04-07,,bk-sw-28,Apr
16,yogendra,"[28.1223001, 81.5166134]",Banke,dt,bk-dw-03,,,,42,13.0,1.45,11.13,,2021-04-07,,bk-dw-03,Apr
17,yogendra,"[28.0818634, 81.5466079]",Banke,dt,bk-dw-01,,,,37,15.0,3.55,11.08,,2021-04-07,,bk-dw-01,Apr
18,yogendra,"[28.0960803, 81.5211436]",Banke,dt,bk-dw-02,,,,25,15.0,3.55,11.2,,2021-04-07,,bk-dw-02,Apr
19,yogndra,"[28.0780663, 81.5933074]",Banke,sw,,bk-sw-26,,,25,5.0,2.55,2.2,,2021-01-27,,bk-sw-26,Jan
20,Subash,"[28.0804943, 81.6419293]",Banke,sw,,bk-sw-01,1611723819300..amr,Test,20,3.6,1.2,2.2,,2021-01-27,,bk-sw-01,Jan
21,yogendra,"[28.0828437, 81.5956795]",Banke,sw,,bk-sw-27,,,40,4.6,0.5,3.7,,2021-01-27,,bk-sw-27,Jan
22,yogendra,"[28.1060386, 81.5971551]",Banke,sw,,bk-sw-25_1,,,35,3.75,0.5,2.9,,2021-01-27,,bk-sw-25_1,Jan
23,yogendra,"[28.1287151, 81.5894281]",Banke,sw,,bk-sw-17_1,,,15,5.0,2.15,2.7,,2021-01-27,,bk-sw-17_1,Jan
24,yogendra,"[28.1465454, 81.5519862]",Banke,sw,,bk-sw-18_1,,,27,5.0,2.05,2.68,,2021-01-27,,bk-sw-18_1,Jan
25,yogendra,"[28.1114479, 81.5216935]",Banke,sw,,bk-sw-19_1,,,23,7.0,2.05,4.72,,2021-01-27,,bk-sw-19_1,Jan
26,yogendra,"[28.1920455, 81.5747481]",Banke,sw,,bk-sw-05_1,,,29,5.0,1.75,2.96,,2021-01-27,,bk-sw-05_1,Jan
27,yogendra,"[28.2576903, 81.6361819]",Banke,sw,,bk-sw-02,1611745033117..amr,dimage,15,0.0,0.0,-0.15,,2021-01-27,,bk-sw-02,Jan
28,yogendra,"[28.2064949, 81.6307264]",Banke,sw,,bk-sw-03,,,40,8.0,1.5,6.1,,2021-01-27,,bk-sw-03,Jan
29,Subash,"[28.0803241, 81.64207]",Bardiya,sw,,,1611808927574.amr,Test,0,2.0,0.0,2,,2021-01-28,bd-sw-01,1611808927574.amr,Jan
30,yogendra,"[28.0493274, 81.6616258]",Banke,sw,,bk-sw-08_1,,,36,8.0,2.15,5.49,,2021-01-29,,bk-sw-08_1,Jan
31,yogendra,"[28.0285434, 81.6946848]",Banke,sw,,bk-sw-30,,,55,6.0,1.55,3.9,,2021-01-29,,bk-sw-30,Jan
32,yogendra,"[27.9833039, 81.7132923]",Banke,sw,,bk-sw-10_1,,,70,5.0,1.55,2.75,,2021-01-29,,bk-sw-10_1,Jan
33,yogendra,"[28.0507443, 81.5861794]",Banke,sw,,bk-sw-28,,,55,6.0,1.15,4.3,,2021-01-31,,bk-sw-28,Jan
34,yogendra,"[28.0242587, 81.6002836]",Banke,sw,,bk-sw-11_1,,,50,6.0,1.35,4.15,,2021-01-31,,bk-sw-11_1,Jan
35,yogendra,"[28.0151183, 81.6543479]",Banke,sw,,bk-sw-09_1,,,60,5.0,2.25,2.15,,2021-01-31,,bk-sw-09_1,Jan
36,yogendra,"[28.0020439, 81.6523786]",Banke,sw,,bk-sw-29,,,40,6.0,1.7,3.9,,2021-01-31,,bk-sw-29,Jan
37,yogendra,"[28.1873921, 81.6300983]",Banke,sw,,bk-sw-04,,,65,5.0,2.65,1.7,,2021-02-01,,bk-sw-04,Feb
38,yogendra,"[28.1960977, 81.7117444]",Banke,sw,,bk-sw-01,,,20,5.0,1.85,2.95,,2021-02-01,,bk-sw-01,Feb
39,yogendra,"[28.0812224, 81.6450643]",Banke,sw,,bk-sw-24_1,,,54,6.0,2.45,3.01,,2021-02-03,,bk-sw-24_1,Feb
40,yogendra,"[28.0928582, 81.6478693]",Banke,sw,,bk-sw-07_1,,,15,4.15,0.5,3.5,,2021-02-03,,bk-sw-07_1,Feb
41,yogendra,"[28.13181, 81.6588146]",Banke,sw,,bk-sw-06_1,,,45,5.0,2.8,1.75,,2021-02-03,,bk-sw-06_1,Feb
42,yogendra,"[28.0960436, 81.5211363]",Banke,dt,bk-dw-02,,,,25,13.0,1.8,10.95,,2021-02-05,,bk-dw-02,Feb
43,yogendra,"[28.0513081, 81.6024541]",Banke,dt,bk-dw-05,,,,27,5.0,1.05,3.68,,2021-02-05,,bk-dw-05,Feb
44,yogendra,"[28.1132361, 81.5173035]",Banke,dt,bk-dw-04_1,,,,49,15.0,3.7,10.81,,2021-02-05,,bk-dw-04_1,Feb
45,yogendra,"[28.1223281, 81.5165796]",Banke,dt,bk-dw-03,,,,42,13.0,1.75,10.83,,2021-02-05,,bk-dw-03,Feb
46,yogendra,"[28.0818215, 81.5466409]",Banke,dt,bk-dw-01,,,,37,15.0,3.65,10.98,,2021-02-05,,bk-dw-01,Feb
47,Anita,"[28.085181, 81.5163616]",Bardiya,dt,,,1611818785404.amr,,25,13.0,1.0,11.75,bd-dw-01,2021-01-28,,1611818785404.amr,Jan
48,A,"[28.0883406, 81.502631]",Bardiya,dt,,,,,20,13.0,1.2,11.6,bd-dw-03,2021-01-28,,,Jan
49,A,"[28.1055899, 81.4825913]",Bardiya,dt,,,,,10,15.0,4.5,10.4,bd-dw-02,2021-01-28,,,Jan
50,A,"[28.0828531, 81.5111708]",Bardiya,dt,,,,,24,13.0,3.2,9.56,bd-dw-04,2021-01-28,,,Jan
51,Anita Singh thakur,"[28.1486845, 81.4968653]",Bardiya,sw,,,,,40,5.0,1.2,3.4,,2021-02-03,bd-sw-18,,Feb
